drugName,condition,review,rating
Differin,Acne,"I started getting acne in my early 20's and by 27 I was suffering from cystic acne.. In total I'd say I've tried 20 or more treatments without improving. I did two courses of accutane without improvement... about a year later I went to a new dermatologist and was prescribed differin gel. After three months my face was perfect.. no acne, no scars. Don't even judge it for two months... waiting isn't fun but discouragement can lead to quitting... don't quit you won't regret it... my skin did get dry and sensitive but got better within a month or so... don't scrub, use excessive products and use moisturizer... seriously perfect skin!!",10
Reglan,Migraine,"I just wanted to say as someone who suffered immensely because of this drug, the reviews here regarding other people's experiences has been a great comfort to me as I now know I am not alone nor am I crazy for having felt it. The sheer, true panic this drug caused me is completely indescribable. Before taking Reglan I had no problem with doctors, hospitals, or even needles. I went to the hospital a couple months ago for a very severe migraine and they gave me Reglan for nausea. Within moments of having taken it, I experienced the most insane panic attack of my life. I don't even know if you can describe it as simply a ""panic attack"" because it was so much more and so much worse than that. I nearly ripped the IV out of my arm.",1
Guaifenesin,ibromyalgia,"I was diagnosed at 20 and put on muscle relaxers and pain killers that did nothing more than immobilize me. I read about the guaifenesin treatment and asked my doctor for a prescription. I started at 1200mg extended release 2x daily. FINALLY I had my life back. When Mucinex took away the generic option, I dropped to 600mg 2x daily, and it still does the trick. 12 years later, I still swear by it. I have occasional set backs, but I always bounce back within a week.",10
Tofacitinib,Rheumatoid Arthritis,Xeljanz has made a hugh improvement in my ability to function. Early meds like methotrexate and steroids only had bad side effects. Costs made Remicade no longer affordable. Enbrel and other injectables did nothing. In the year I have used Xeljanz. I can use my hands much better. My psoriasis is gone. I still know when the weather is changing. I no longer suffer like I did.,9
Apri,Birth Control,I have taken this for 3 months now and my period has been regular but I extreme mood swings. I had no idea until family told me. I would not recommend!,2
Ambien CR,Insomnia,"Been taking this for years. The only thing that has worked for me. I can stay up all night without it. I have learned you have to go to bed hungry, that way it has nothing to compete with in your stomach. No side affects the next morning. Get about 4 to 5 hrs now which is good for me. Now if my insurance would pay for this! Just got new insurance this year and they consider this a tier 4 medication. Don't know which is worse. Going broke or not getting any sleep.",8
Solodyn,Acne,I'm 29 and I've suffered from acne for some years and NOTHING worked. Last choice I had was to go to my dermatologist and he prescribed me Solodyn. He said it may take a month before it starts to work. I broke out a few times but at 4 weeks my face was clearing up. My face was clear for 8 days then I ran out. Had to wait a week for pills to be delivered (had to enroll to get my pills for $20.00) and since I've been without the pills I only had two small pimples within 2 weeks. I got some more pills now and I love it. It's the best thing that ever happened to my face. I was prescribed with Ziana for the evening and Aczone for morning. My side effect on this was headache. And I got the 55mg.,10
Hysingla ER,Pain,Was taking 10 7.5/325 daily for severe auto immune joint foot pain and nerve pain. 60mg time release. 9 out of 10 days I'm fully functional like a normal mom. My only issue is IBS... if I take in the AM and have my guts evacuate I am forced to suffer with only my 3 daily allowed break through pain medication. Then if I don't double up the break through the withdrawal symptoms cause my guts to keep dumping. I have slow digestion and it works about 19 to 22 hours. I imagine a regular digestive system would burn through this medicine before 24 hours. I tried it at night first and really enjoyed waking up without pain but had trouble the last 3 hours before the next dose. I would rather spend those wasted hours in bed each morning.,9
Frova,Migraine,"Everytime I took Frova I ended up with rebound migraines for 2-3 days afterwards. It simply wasn't worth it for me and I went back to Imitrex, which doesn't cause rebound migraines for me.",2
Promethazine DM,Cough,"So far this medicine is working a little, but I've only been on it for 1 day, I need to get it more time so really can't comment on it. My bronchitis is making me cough a lot, so I hope this stuff works.",6
Orlistat,Obesity,"I used Alli for about three weeks . I didn't notice it helping me lose weight faster than I can with a weight watchers program . It did increase my bowel movements. I did have some stomach discomfort and gas. I stopped using it at the end of the third week because I went out to dinner and took my pill with my meal and it made me extremely ILL. Vomiting and Diarrhoea for over eight hours !!! I would not recommend this product to anybody !!! Weight watchers is working out very well for me . Eating healthy and exercise is the only way to go, there is no magic pill!!! I had to find out the hard way !",1
Nortrel 1 / 35,Birth Control,"I took Nortrel 1/35 for five years and generally liked it - I will consider getting on it again when the need arises. My skin was clear, I didn't get pregnant, I didn't have mood swings, and my period was light. I would take 6 weeks worth of pills, and then have a period, as recommended by my doctor. My main issue with it was that by day four of my period I would get a withdrawal headache that would last until I took the first pill of my next pack. This bothered me enough to stop taking it when I'm not in need of a birth control method. I did lose a few pounds almost overnight when I stopped taking it also.",8
